,peaking time (s),resolution (s.p.e.)
0,8.800000000000001e-08,0.06781596037334166
1,1.04e-07,0.06971207813255882
2,1.2000000000000002e-07,0.06877767194976936
3,1.3200000000000002e-07,0.07746528960977034
4,1.64e-07,0.07642508052064398
5,1.8000000000000002e-07,0.08375473368904146
6,1.7600000000000001e-07,0.08906882053951004
7,2.0000000000000002e-07,0.09497892583785736
8,2.2e-07,0.10436645626715522
9,2.68e-07,0.11709450677276038
10,3.92e-07,0.14837488974852497
11,4.64e-07,0.19517643760415926
12,6.040000000000001e-07,0.23322967657206392
13,8.240000000000001e-07,0.27484968089399
14,1.1e-06,0.3180436200935225
